what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345618801184
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345618884952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345618891770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1345618891785
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345618894344
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345618901254
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345618901379
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1345618909335
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1345618990169
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345619004178
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1345619014708
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345619015441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345619017438
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345619017859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619028311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619028420
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345619031618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619050229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619070150
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1345619070182
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345619077483
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345619077483
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1345619083863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619093036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619108573
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345619110243
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345619117356
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345619117419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345619120445
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1345619127325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345619129758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345619133175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619136965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619136981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619142067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619143174
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1345619143174
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1345619147152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619149197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619168482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619181927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619185988
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1345619188688
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345619189391
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345619203307
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1345619209094
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619211108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619221024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619222648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619237453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619245276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619246885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619247759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619269544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619273243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619279530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345619289171
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1345619299326
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619301309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619318767
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619320204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345619328074
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1345619332196
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345619381761
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345619385832
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1345619391136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1345619461193
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345619462862
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345619463439
